999,ПАО МегаФон,г. Санкт-Петербург и Ленинградская область,1160000 - 1199999
999,ООО Скартел,Пермский край,1150000 - 1159999
999,ООО Скартел,г. Москва * Московская область,1110000 - 1149999
999,ООО Скартел,Пензенская обл.,1100000 - 1109999
999,ООО Скартел,Оренбургская обл.,1090000 - 1099999
999,ПАО МегаФон,Ярославская обл.,1065000 - 1089999
999,ООО Скартел,Оренбургская обл.,1050000 - 1064999
999,ПАО МегаФон,Смоленская обл.,1040000 - 1049999
999,ПАО МегаФон,Псковская обл.,1030000 - 1039999
999,ПАО МегаФон,Новгородская обл.,1020000 - 1029999
999,ПАО МегаФон,Костромская обл.,1010000 - 1019999
999,ООО Скартел,Кировская обл.,1000000 - 1009999
999,ПАО МегаФон,г. Москва и Московская область,989000 - 999999
999,ПАО МегаФон,Владимирская обл.,986000 - 988999
999,ПАО МегаФон,Вологодская обл.,971000 - 985999
999,ООО Скартел,г. Москва * Московская область,950000 - 970999
999,ПАО МегаФон,Республика Карелия,945000 - 949999
999,ПАО МегаФон,Псковская обл.,938000 - 944999
999,ПАО МегаФон,Новгородская обл.,931000 - 937999
999,ПАО МегаФон,Калининградская обл.,923000 - 930999
999,ПАО МегаФон,Мурманская обл.,916000 - 922999
999,ПАО МегаФон,Архангельская область и Ненецкий автономный округ,903000 - 915999
999,ООО Скартел,Чукотский АО,900000 - 902999
999,ООО Скартел,Хабаровский край,820000 - 899999
999,ПАО МегаФон,Костромская обл.,810000 - 819999
999,ООО Скартел,Хабаровский край,800000 - 809999
999,ПАО МегаФон,Нижегородская обл.,710000 - 799999
999,ПАО МегаФон,Владимирская обл.,703000 - 709999
999,ООО Скартел,Сахалинская обл.,700000 - 702999
999,ПАО МегаФон,г. Санкт-Петербург и Ленинградская область,603000 - 699999
999,ООО Скартел,Республика Саха /Якутия/,600000 - 602999
999,ООО Скартел,Приморский край,570000 - 599999
999,ПАО МегаФон,Ивановская обл.,560000 - 569999
999,ОАО МТТ,г. Санкт-Петербург * Ленинградская область,550000 - 559999
999,ПАО МегаФон,г. Санкт-Петербург и Ленинградская область,410000 - 549999
999,ООО Скартел,Приморский край,400000 - 409999
999,ПАО МегаФон,г. Санкт-Петербург и Ленинградская область,303000 - 399999
999,ООО Скартел,Магаданская обл.,300000 - 302999
